Pressure(Pa),Temperature(K),CO2_mole_frac,CH4_mole_frac,CO2_uptake,CH4_uptake,CO2_Error,CH4_Error
3600000.088,300,0.08,0.92,169.4810906808,120.8416240854,1.8729442304,0.4760683133
3600000.088,300,0.1,0.9,204.0613804958,113.9398827074,0.9952419101,1.1816940946
3600000.088,300,0.12,0.88,236.8569773645,107.1649831762,1.9316298346,1.5183518842
3600000.088,300,0.14,0.86,269.0614651623,101.0520084525,3.7926012689,1.5491616078
3600000.088,300,0.16,0.84,296.6861988170,94.5201837830,1.6398000181,0.7143243023
3600000.088,300,0.18,0.82,323.1639026410,89.1066294572,1.6890020451,0.7174475862
3600000.088,300,0.2,0.8,348.5655897375,83.8563185328,3.1837451227,0.2869087663
3600000.088,300,0.22,0.78,369.4107997134,79.2736015105,5.9708610226,0.8846073259
3600000.088,300,0.24,0.76,392.3233002347,73.9926244313,4.3109472970,0.8920611463
3600000.088,300,0.26,0.74,412.5081156279,69.1379897855,3.9367706795,0.4598754656
3600000.088,300,0.28,0.72,430.7893979646,65.8958975937,4.3783203439,1.4689679475
3600000.088,300,0.3,0.7,447.5168481351,61.8239295238,4.2578862772,0.6484495094
3600000.088,300,0.32,0.68,463.5232561686,58.0956544560,4.6767099731,0.8536650223
3600000.088,300,0.34,0.66,478.3609030888,54.5363250368,2.6694741373,0.7288828807
3600000.088,300,0.36,0.64,495.1732780204,51.1127223611,4.2350141630,0.6238735261
3600000.088,300,0.38,0.62,508.6438545082,47.9679993549,5.6392169379,0.9112019887
3600000.088,300,0.4,0.6,519.1729791511,45.3011047696,3.5350512433,0.9598607495
