Pressure(Pa),Temperature(K),H2S_mole_frac,CO2_mole_frac,H2S_uptake,CO2_uptake,H2S_Error,CO2_Error
500000.095,340.,0.116,0.884,42.3009629043,187.9554995622,1.1743007755,4.4271477022
500000.095,340.,0.212,0.788,76.4627930749,168.3323332586,0.5605033439,0.7648017756
500000.095,340.,0.308,0.692,113.3354189750,148.3004551762,2.6256980638,2.4506281234
500000.095,340.,0.404,0.596,154.4979305869,130.7454886768,2.7721696771,2.1556492730
500000.095,340.,0.5,0.5,200.7789759843,109.8341755946,4.3613400686,1.4702862618
500000.095,340.,0.596,0.404,248.3632466699,87.6655396032,5.8195731121,0.9170924990
500000.095,340.,0.692,0.308,296.1945026841,65.4535319725,6.2102614200,0.4403071075
500000.095,340.,0.788,0.212,345.0836147781,42.9822946909,7.3088013837,0.5234006386
500000.095,340.,0.884,0.116,390.4131166994,22.1886396825,3.9196924008,0.5299666329
500000.095,340.,0.98,0.02,426.0009972946,3.5977547636,4.6088895040,0.1561359994
500000.095,360.,0.02,0.98,5.3655893801,144.2497077359,0.1542755472,2.2819384192
500000.095,360.,0.116,0.884,28.2426844838,128.4900725094,0.9381930021,3.2753682293
500000.095,360.,0.212,0.788,49.5432894507,112.7027048930,0.8606641011,1.4844223676
500000.095,360.,0.308,0.692,71.1609350441,99.1865745451,1.5379263633,1.5019314735
500000.095,360.,0.404,0.596,91.2767130951,85.4455845245,2.0468124288,0.7342932646
500000.095,360.,0.5,0.5,114.0600732262,72.7788836398,1.7827392075,1.1545748017
500000.095,360.,0.596,0.404,137.4718933228,59.3449502770,2.7853046852,1.0136572089
500000.095,360.,0.692,0.308,165.6821148701,45.4149253759,3.2271354896,0.6304321600
500000.095,360.,0.788,0.212,192.1450294005,32.0541873372,3.8048110112,0.7188890127
500000.095,360.,0.884,0.116,220.9455564229,17.7901917211,4.9438664029,0.3357149544
500000.095,360.,0.98,0.02,255.3443941364,3.0962985990,2.6084960679,0.0703406656
500000.095,380.,0.02,0.98,3.9431927926,105.3597136072,0.0960346046,1.3622929335
500000.095,380.,0.116,0.884,20.4167277414,91.6237245094,0.6592929088,1.3383525572
500000.095,380.,0.212,0.788,35.1882070394,79.5080343876,0.6661814420,1.6554416788
500000.095,380.,0.308,0.692,49.1731979214,69.5521064196,0.6273459077,1.5482646494
500000.095,380.,0.404,0.596,62.5689373198,59.3635900801,1.9334105572,0.6409677587
500000.095,380.,0.5,0.5,76.2250126050,50.5563286085,1.5831523784,1.6424512838
500000.095,380.,0.596,0.404,89.7691539988,40.7871623743,1.0159767065,0.6320519712
500000.095,380.,0.692,0.308,105.4528980251,31.0510931562,1.8977583533,0.8204620356
500000.095,380.,0.788,0.212,119.6285910925,21.5902565421,2.2999315743,0.1946743017
500000.095,380.,0.884,0.116,134.4284578934,12.0679540408,2.0684909228,0.1846118493
500000.095,380.,0.98,0.02,150.9075438639,2.0983871925,2.7094997643,0.1142104194
500000.095,400.,0.02,0.98,2.9219453489,80.0815038401,0.0613425838,1.5545169390
500000.095,400.,0.116,0.884,15.5718101349,69.3225186017,0.3243836752,1.2328785466
500000.095,400.,0.212,0.788,26.6631729049,60.0864507344,0.4393124903,1.2857608922
500000.095,400.,0.308,0.692,36.9031916520,51.8217439199,0.4795090623,1.2556535730
500000.095,400.,0.404,0.596,47.0642313069,44.3192686608,0.4110147418,0.5650018455
500000.095,400.,0.5,0.5,56.0689018148,37.0847519361,1.4030086471,0.8699188378
500000.095,400.,0.596,0.404,65.5608677006,29.5824585287,0.6886875557,0.5381830185
500000.095,400.,0.692,0.308,75.1666646624,22.6882773297,1.0789781889,0.5874585189
500000.095,400.,0.788,0.212,84.3511461108,15.6858034213,1.5435644056,0.2281602366
500000.095,400.,0.884,0.116,94.2626708577,8.6170445548,1.1836726345,0.0803261992
500000.095,400.,0.98,0.02,104.3453638151,1.4970944243,0.9157986685,0.0510093312
1000000.09,200.,0.02,0.98,42.7706917581,853.7386219946,8.9645313215,10.5054180564
1000000.09,200.,0.116,0.884,150.3262324491,719.1805207271,17.8373100264,26.4248085112
1000000.09,200.,0.212,0.788,246.0214884783,604.1403845333,8.5225679168,14.1213390840
1000000.09,200.,0.308,0.692,324.4438624470,502.3126862868,25.6558323503,41.7734572054
1000000.09,200.,0.404,0.596,429.4862659375,367.3917908040,19.8657600441,32.9871446297
1000000.09,200.,0.5,0.5,471.5067968514,319.9668581798,26.3274859744,35.0049962047
1000000.09,200.,0.596,0.404,504.3398951409,269.0167296350,22.6049118590,25.7682758693
1000000.09,200.,0.692,0.308,559.3438440000,207.0315649152,29.4427907670,28.5287449207
1000000.09,200.,0.788,0.212,582.6695881286,165.6002836887,22.1201360580,27.0908272957
1000000.09,200.,0.884,0.116,622.4418850250,117.2297220324,10.6062656692,19.6794400099
1000000.09,200.,0.98,0.02,684.0448743189,21.6458122477,8.0370603687,3.6239075399
1000000.09,220.,0.02,0.98,33.4117395926,836.0865466677,2.4138852981,12.2517596851
1000000.09,220.,0.116,0.884,137.1879480276,710.9609131433,7.6477375239,10.9888919527
