Pressure(Pa),Temperature(K),Xe_mole_frac,Kr_mole_frac,Xe_uptake,Kr_uptake,Xe_Error,Kr_Error
1000000.095,260.,0.692,0.308,1264.4615362678,87.3434590552,1.6199098978,0.2190912860
1000000.095,260.,0.788,0.212,1311.7417767629,56.9526643134,2.3593721178,0.5887945131
1000000.095,260.,0.884,0.116,1353.5401330635,29.6226857256,2.3921999525,0.2090280106
1000000.095,260.,0.98,0.02,1389.2425989763,4.8848650954,3.1295923478,0.0608339905
1000000.095,280.,0.02,0.98,100.5766292567,522.6417744465,0.8646754919,1.6787058487
1000000.095,280.,0.116,0.884,437.3085057900,392.8593527793,0.5661299865,1.5252117999
1000000.095,280.,0.212,0.788,655.9082225627,303.1026408335,1.4139988683,2.1062325515
1000000.095,280.,0.308,0.692,809.1659591649,235.8287594680,1.0105432346,1.0600597601
1000000.095,280.,0.404,0.596,921.4612072879,183.4369881280,1.3340099757,0.9934027317
1000000.095,280.,0.5,0.5,1008.7569612661,140.7771779388,2.5502256368,0.4979835970
1000000.095,280.,0.596,0.404,1079.8520682256,105.5270957594,2.2299679367,0.6378519738
1000000.095,280.,0.692,0.308,1136.7377478095,75.1671085013,0.9929144304,0.7838895233
1000000.095,280.,0.788,0.212,1186.6590831728,48.7789661229,1.4234921111,0.1498618872
1000000.095,280.,0.884,0.116,1230.2025953884,25.2064441921,2.1229109832,0.1361133656
1000000.095,280.,0.98,0.02,1267.1599076307,4.1788212965,2.4431355698,0.0253132310
1000000.095,300.,0.02,0.98,69.6944782492,393.5603918774,0.4579355630,1.8389934925
1000000.095,300.,0.116,0.884,319.3293727607,311.4053183037,1.2211677375,1.2691273709
1000000.095,300.,0.212,0.788,504.8908624253,251.5450440242,0.9706293015,0.9648145354
1000000.095,300.,0.308,0.692,650.2934438771,201.8546335603,1.3741604373,0.3076427188
1000000.095,300.,0.404,0.596,765.2715707631,159.8413822310,1.5143197728,1.0934579723
1000000.095,300.,0.5,0.5,857.9986341436,124.0588102728,3.1625799713,0.6246239272
1000000.095,300.,0.596,0.404,932.8113139087,93.7999560697,1.3972264034,0.4073542158
1000000.095,300.,0.692,0.308,998.9657195077,67.0363918592,1.2107213165,0.4304484515
1000000.095,300.,0.788,0.212,1051.8221835491,43.7017230980,1.4523838401,0.4375899058
1000000.095,300.,0.884,0.116,1098.7681528863,22.6336816150,1.7832350049,0.1057591216
1000000.095,300.,0.98,0.02,1139.9711700841,3.7383729880,2.9413792199,0.0454712964
1000000.095,320.,0.02,0.98,49.4276884927,301.9942467948,0.5636242636,0.7468212206
1000000.095,320.,0.116,0.884,231.9252519802,244.7782728750,0.9780346740,1.3825905463
1000000.095,320.,0.212,0.788,376.9646934015,203.2800035303,1.7971718798,0.9867930328
1000000.095,320.,0.308,0.692,500.4988324410,167.7238899557,2.3087171723,0.6002491607
1000000.095,320.,0.404,0.596,605.6507981708,135.8031979973,1.0242804678,0.8339812973
1000000.095,320.,0.5,0.5,696.2491349092,107.6372785137,1.7662430756,0.2186023412
1000000.095,320.,0.596,0.404,773.3120401999,82.2593756953,1.7775266878,0.1859590573
1000000.095,320.,0.692,0.308,841.5301360803,59.7604053877,1.8613189357,0.1849548573
1000000.095,320.,0.788,0.212,900.7065769942,39.0507455097,1.6538216242,0.2636996709
1000000.095,320.,0.884,0.116,952.3970804458,20.5177321985,2.2091143329,0.1478239552
1000000.095,320.,0.98,0.02,998.0823157229,3.3716098079,1.7799571831,0.0320551482
1000000.095,340.,0.02,0.98,36.1784767240,237.3635574816,0.1350834935,0.5822256071
1000000.095,340.,0.116,0.884,172.4982704923,195.1062707052,0.7519150907,1.1494583161
1000000.095,340.,0.212,0.788,283.2227154974,163.8354452118,1.9542008417,1.0811036230
1000000.095,340.,0.308,0.692,380.7546825805,137.3869000772,0.8886475252,1.0604675304
1000000.095,340.,0.404,0.596,468.2433479168,113.1316607559,1.3842693730,0.1957535537
1000000.095,340.,0.5,0.5,547.5108963026,91.2678372049,1.9780015743,0.2893784684
1000000.095,340.,0.596,0.404,619.6529611491,70.8129321851,2.6786570730,0.2470898466
1000000.095,340.,0.692,0.308,684.0177136984,51.8814996622,0.7450969304,0.2622847412
1000000.095,340.,0.788,0.212,742.5414847502,34.4401172395,1.7051847378,0.0901149236
1000000.095,340.,0.884,0.116,795.5383318249,18.2325234532,1.9146473077,0.0830195958
1000000.095,340.,0.98,0.02,843.2148138775,3.0378360918,2.2512874804,0.0106315272
1000000.095,360.,0.02,0.98,26.8169579037,192.0812321011,0.2601853295,0.6838922485
