Pressure(Pa),Temperature(K),CO2_mole_frac,CH4_mole_frac,CO2_uptake,CH4_uptake,CO2_Error,CH4_Error
3000000.09,260.,0.98,0.02,812.5569322770,0.5911771596,7.8897416016,0.0672409918
3000000.09,280.,0.02,0.98,70.3715303463,156.8062605480,1.2948611664,0.7092432801
3000000.09,280.,0.116,0.884,310.3229877924,106.3146189914,3.1442034160,1.1420558634
3000000.09,280.,0.212,0.788,453.7740026996,74.1901144683,4.2524166227,1.4174634103
3000000.09,280.,0.308,0.692,543.2910657624,52.7128325903,1.9405929094,0.5979934832
3000000.09,280.,0.404,0.596,608.5867504273,37.0851280305,4.1020793918,0.3775415037
3000000.09,280.,0.5,0.5,651.6964322599,26.9533951596,8.4621683224,1.1586404392
3000000.09,280.,0.596,0.404,687.2929095809,18.8499383443,7.7601899534,1.0408263093
3000000.09,280.,0.692,0.308,714.0324799061,12.8904270050,6.5161506229,0.4091054134
3000000.09,280.,0.788,0.212,732.7226558733,8.2669985902,6.5859526229,0.4267465489
3000000.09,280.,0.884,0.116,750.2532542400,4.1451690102,5.3043741966,0.1946637099
3000000.09,280.,0.98,0.02,765.5686256732,0.6619248075,2.5366460522,0.0453807628
3000000.09,300.,0.02,0.98,43.7154299683,135.0770852167,0.6383235322,0.8270895395
3000000.09,300.,0.116,0.884,218.0869684847,103.4496707749,2.9851256693,1.5253390675
3000000.09,300.,0.212,0.788,347.1266878690,77.7737778958,3.7918693778,0.8231553424
3000000.09,300.,0.308,0.692,438.2088579058,58.4030122087,4.1264710326,0.8926096644
3000000.09,300.,0.404,0.596,510.9142734439,43.2530366120,6.7377610944,1.2008322520
3000000.09,300.,0.5,0.5,561.6811863637,31.9834733636,4.9467277794,1.0565985811
3000000.09,300.,0.596,0.404,605.2916878799,22.6509502160,3.8923974997,0.5183037458
3000000.09,300.,0.692,0.308,636.4443452312,15.8625575767,5.2035397861,0.4372227606
3000000.09,300.,0.788,0.212,664.6196350195,9.7716624845,3.6683701762,0.2950088596
3000000.09,300.,0.884,0.116,685.1766099923,4.8846709013,2.5922253311,0.1867530881
